,Formula,Num_Runs,Run_Names,Avg_Score
5353,C32H59N3O3,4,"bigmed, large, med, tiny",68.67
5346,C32H58O11,4,"bigmed, large, med, tiny",68.44
5011,C31H52O13,4,"bigmed, large, med, tiny",61.3675
4972,C31H49NO4,4,"bigmed, large, med, tiny",60.2175
5739,C34H51NO6,4,"bigmed, large, med, tiny",68.9925
4973,C31H49NO5S,4,"bigmed, large, med, tiny",55.415
4980,C31H50N2O3,4,"bigmed, large, med, tiny",60.2
5298,C32H55NO5,4,"bigmed, large, med, tiny",71.0925
4996,C31H51O10P,4,"bigmed, large, med, tiny",65.39750000000001
5292,C32H54O4,4,"bigmed, large, large, med",64.6
5720,C34H48O6,4,"bigmed, large, med, tiny",63.945
5003,C31H52N2O7,4,"bigmed, large, med, tiny",68.71
5291,C32H54O3,4,"bigmed, large, med, tiny",64.9875
5200,C32H45O10P,4,"bigmed, large, med, tiny",76.2625
3,C10H10O2,4,"bigmed, large, med, tiny",73.7625
4734,C30H50O4,4,"bigmed, large, large, tiny",63.485
2480,C22H37N3O3,4,"bigmed, large, med, tiny",69.435
2437,C22H33N5O4S,4,"bigmed, large, med, tiny",73.99
2421,C22H31NO6S,4,"bigmed, large, med, tiny",56.8
2401,C22H29NO6,4,"bigmed, large, med, tiny",90.485
2398,C22H29N10O8P,4,"bigmed, large, med, tiny",75.38
2395,C22H28O6S,4,"bigmed, large, med, tiny",56.8
2386,C22H28N2O3,4,"bigmed, large, med, tiny",66.91749999999999
2377,C22H27ClN4O3,4,"bigmed, large, med, tiny",62.695
2368,C22H26O3,4,"bigmed, large, med, tiny",64.7175
2365,C22H26O,4,"bigmed, large, med, tiny",66.69
2359,C22H25N2OS,4,"bigmed, large, med, tiny",65.5675
2328,C21H44NO6P,4,"bigmed, large, med, tiny",65.61500000000001
2317,C21H43N2O5P,4,"bigmed, large, med, tiny",63.67
2301,C21H41NO4,4,"bigmed, large, med, tiny",64.5575
2296,C21H41N5O7,4,"bigmed, large, med, tiny",90.5775
2219,C21H34O6S,4,"bigmed, large, med, tiny",73.44500000000001
2203,C21H33NO6,4,"bigmed, large, med, tiny",72.6625
2196,C21H32O5S,4,"bigmed, large, med, tiny",60.6825
2185,C21H31NO7,4,"bigmed, large, med, tiny",56.58
2175,C21H30O4,4,"large, large, med, tiny",58.8525
2459,C22H35NO4,4,"large, large, med, tiny",67.97
2483,C22H37NO6S,4,"bigmed, large, med, tiny",68.6525
2131,C21H27ClN2O2,4,"bigmed, large, med, tiny",68.425
2490,C22H38O,4,"bigmed, large, med, tiny",70.39750000000001
2864,C24H30O4,4,"bigmed, large, large, tiny",58.5
2833,C24H25O13,4,"bigmed, large, med, tiny",59.410000000000004
2789,C23H45N2O6P,4,"bigmed, large, med, tiny",81.2375
2787,C23H44O4,4,"bigmed, large, med, tiny",80.1575
2778,C23H43NO5,4,"bigmed, large, med, tiny",71.4
2757,C23H41NO9S,4,"bigmed, large, med, tiny",60.8675
2736,C23H40O5,4,"bigmed, large, med, tiny",74.2125
2642,C23H32O4,4,"bigmed, large, med, tiny",72.68
2601,C23H28O5,4,"bigmed, large, med, tiny",66.89
2586,C23H25NO4,4,"bigmed, large, med, tiny",67.525
2584,C23H24O6,4,"bigmed, large, med, tiny",75.365
2574,C22H46NO6P,4,"bigmed, large, med, tiny",61.59
2551,C22H43NO,4,"bigmed, large, med, tiny",94.175
2533,C22H41NO5,4,"bigmed, large, med, tiny",66.6925
2524,C22H40O8,4,"bigmed, large, med, tiny",67.7325
2522,C22H40O4,4,"bigmed, large, med, tiny",61.12
2520,C22H40O2,4,"bigmed, large, med, tiny",61.519999999999996
2496,C22H38O5S,4,"bigmed, large, med, tiny",84.625
2495,C22H38O5,4,"bigmed, large, med, tiny",65.705
2141,C21H28N4O4,4,"bigmed, large, med, tiny",63.457499999999996
2127,C21H26O6,4,"bigmed, large, med, tiny",61.6875
4733,C30H50O3,4,"bigmed, large, med, tiny",65.4875
1969,C20H33NO5S,4,"bigmed, large, med, tiny",64.47749999999999
1949,C20H32N4O4,4,"bigmed, large, med, tiny",62.255
1934,C20H31N3O5,4,"bigmed, large, med, tiny",77.575
1930,C20H30O6,4,"bigmed, large, med, tiny",69.6875
1925,C20H30O2,4,"large, large, large, tiny",74.195
