Formula,Runs,Avg_Mass,Avg_RT,Avg_Score,Occurrence_Count,Run_Names,Num_Runs
C51H91N2O7P,"['bigmed', 'large', 'med', 'tiny']",874.659275,19.5095,76.635,4,"bigmed, large, med, tiny",4
C62H112NO11P,"['bigmed', 'large', 'med', 'tiny']",1077.796325,18.15825,84.17,4,"bigmed, large, med, tiny",4
C62H113O11P,"['bigmed', 'large', 'med', 'tiny']",1064.8048000000001,17.957,58.870000000000005,4,"bigmed, large, med, tiny",4
C62H120O16P2,"['bigmed', 'large', 'med', 'tiny']",1182.8073,19.5355,72.2125,4,"bigmed, large, med, tiny",4
C7H14O5,"['bigmed', 'large', 'med', 'tiny']",178.08407499999998,3.08175,77.4425,4,"bigmed, large, med, tiny",4
C76H129NO9,"['bigmed', 'large', 'large', 'tiny']",1199.9676,19.17075,62.295,4,"bigmed, large, large, tiny",4
C76H129NO18,"['bigmed', 'large', 'med', 'tiny']",1343.9228,19.46425,66.525,4,"bigmed, large, med, tiny",4
C75H128O16P2,"['bigmed', 'large', 'med', 'tiny']",1346.871775,20.02925,69.625,4,"bigmed, large, med, tiny",4
C74H131NO9,"['bigmed', 'large', 'large', 'tiny']",1177.987625,19.475749999999998,61.3525,4,"bigmed, large, large, tiny",4
C74H131NO18,"['bigmed', 'large', 'med', 'tiny']",1321.940625,19.48375,60.105,4,"bigmed, large, med, tiny",4
C73H132O16P2,"['bigmed', 'large', 'med', 'tiny']",1326.89755,19.470750000000002,64.13,4,"bigmed, large, med, tiny",4
C73H130O16P2,"['bigmed', 'large', 'med', 'tiny']",1324.8901,19.46425,78.13,4,"bigmed, large, med, tiny",4
C73H121O9P,"['bigmed', 'large', 'med', 'tiny']",1172.8712249999999,18.9575,57.6125,4,"bigmed, large, med, tiny",4
C73H118O11,"['bigmed', 'large', 'med', 'tiny']",1170.863275,18.951,78.7775,4,"bigmed, large, med, tiny",4
C73H106O6,"['bigmed', 'large', 'med', 'tiny']",1078.79655,18.665,56.144999999999996,4,"bigmed, large, med, tiny",4
C71H131NO5,"['bigmed', 'large', 'med', 'tiny']",1078.0005,20.835,67.8675,4,"bigmed, large, med, tiny",4
C71H118O14,"['bigmed', 'large', 'med', 'tiny']",1194.8521,19.46425,72.205,4,"bigmed, large, med, tiny",4
C71H116O14,"['bigmed', 'large', 'med', 'tiny']",1192.84395,19.2755,70.82000000000001,4,"bigmed, large, med, tiny",4
C70H114NO11P,"['bigmed', 'large', 'med', 'tiny']",1175.818575,18.42475,66.63,4,"bigmed, large, med, tiny",4
C70H112O14,"['bigmed', 'large', 'med', 'tiny']",1176.80015,18.866500000000002,74.1525,4,"bigmed, large, med, tiny",4
C6H5ClO3,"['bigmed', 'large', 'med', 'tiny']",159.992975,12.02,54.07,4,"bigmed, large, med, tiny",4
C6H14S,"['bigmed', 'large', 'med', 'tiny']",118.0809,5.0432500000000005,75.8275,4,"bigmed, large, med, tiny",4
C6H11NO,"['bigmed', 'large', 'med', 'tiny']",113.08365,4.7177500000000006,86.0125,4,"bigmed, large, med, tiny",4
C69H130O14,"['bigmed', 'large', 'med', 'tiny']",1182.94985,19.367,63.885,4,"bigmed, large, med, tiny",4
C7H14O,"['bigmed', 'large', 'med', 'tiny']",114.1045,19.711,80.06,4,"bigmed, large, med, tiny",4
C7H16N4O,"['bigmed', 'large', 'med', 'tiny']",172.1338,8.283,85.8175,4,"bigmed, large, med, tiny",4
C63H102O15,"['bigmed', 'large', 'med', 'tiny']",1098.72385,20.1525,69.72749999999999,4,"bigmed, large, med, tiny",4
C8H10O5S,"['bigmed', 'large', 'med', 'tiny']",218.024,1.061,75.4,4,"bigmed, large, med, tiny",4
C9H7N,"['bigmed', 'large', 'med', 'tiny']",129.057775,7.220750000000001,84.6975,4,"bigmed, large, med, tiny",4
C9H19NO4,"['bigmed', 'large', 'med', 'tiny']",205.13195000000002,8.433,64.655,4,"bigmed, large, med, tiny",4
C9H19NO,"['bigmed', 'large', 'med', 'tiny']",157.1466,13.6755,99.6925,4,"bigmed, large, med, tiny",4
C9H18N6,"['bigmed', 'large', 'med', 'tiny']",210.160125,10.935,75.45,4,"bigmed, large, med, tiny",4
C9H18N4O3,"['bigmed', 'large', 'med', 'tiny']",230.135875,18.204250000000002,82.03,4,"bigmed, large, med, tiny",4
C9H17NO3,"['large', 'med', 'tiny', 'tiny']",187.120475,2.7287500000000002,74.3,4,"large, med, tiny, tiny",4
C9H17N3O4,"['large', 'med', 'med', 'tiny']",231.122075,11.40725,71.9875,4,"large, med, med, tiny",4
C9H16O4,"['bigmed', 'large', 'med', 'tiny']",188.10537499999998,9.03025,75.14,4,"bigmed, large, med, tiny",4
C9H16N3O2,"['bigmed', 'large', 'med', 'tiny']",198.124675,9.73925,75.4125,4,"bigmed, large, med, tiny",4
C9H16N2O4,"['bigmed', 'large', 'med', 'tiny']",216.111075,8.86825,65.53,4,"bigmed, large, med, tiny",4
C9H15NO2,"['bigmed', 'large', 'med', 'tiny']",169.109875,3.081,79.3825,4,"bigmed, large, med, tiny",4
C9H13NO7,"['bigmed', 'large', 'med', 'tiny']",247.070275,11.753499999999999,73.2875,4,"bigmed, large, med, tiny",4
C9H13N3O4,"['bigmed', 'large', 'med', 'tiny']",227.089525,18.094,71.925,4,"bigmed, large, med, tiny",4
C9H11N3O,"['bigmed', 'large', 'med', 'tiny']",177.0892,9.02975,84.82,4,"bigmed, large, med, tiny",4
C8H19N,"['bigmed', 'large', 'med', 'tiny']",129.15145,8.7705,88.5175,4,"bigmed, large, med, tiny",4
C8H18O5,"['bigmed', 'large', 'med', 'tiny']",194.1154,7.05575,95.96000000000001,4,"bigmed, large, med, tiny",4
C8H16O4,"['large', 'large', 'med', 'tiny']",176.104675,9.51125,76.825,4,"large, large, med, tiny",4
C8H16,"['bigmed', 'large', 'med', 'tiny']",112.12514999999999,17.28825,86.4575,4,"bigmed, large, med, tiny",4
C8H14,"['bigmed', 'large', 'med', 'tiny']",110.109075,8.738,87.5925,4,"bigmed, large, med, tiny",4
C69H117NO7,"['bigmed', 'large', 'med', 'tiny']",1071.880825,20.7245,80.255,4,"bigmed, large, med, tiny",4
C69H114O15,"['bigmed', 'large', 'med', 'tiny']",1182.81005,20.159,60.5075,4,"bigmed, large, med, tiny",4
C69H107NO8,"['bigmed', 'large', 'med', 'tiny']",1077.7969,18.15175,74.705,4,"bigmed, large, med, tiny",4
C69H107NO7,"['bigmed', 'large', 'med', 'tiny']",1061.802825,16.95675,71.8425,4,"bigmed, large, med, tiny",4
C64H125NO10,"['bigmed', 'large', 'med', 'tiny']",1067.9266,20.67875,74.755,4,"bigmed, large, med, tiny",4
C64H113O8P,"['bigmed', 'large', 'med', 'tiny']",1040.820525,17.97,60.7275,4,"bigmed, large, med, tiny",4
C64H112O10,"['bigmed', 'large', 'med', 'tiny']",1040.820625,17.97,53.9275,4,"bigmed, large, med, tiny",4
C64H111O11P,"['bigmed', 'large', 'med', 'tiny']",1086.78755,17.9635,61.5,4,"bigmed, large, med, tiny",4
C64H110O10,"['bigmed', 'large', 'med', 'tiny']",1038.8172749999999,17.1645,62.050000000000004,4,"bigmed, large, med, tiny",4
C64H110NO8P,"['bigmed', 'large', 'med', 'tiny']",1051.795425,20.367,78.58500000000001,4,"bigmed, large, med, tiny",4
C64H110NO11P,"['bigmed', 'large', 'med', 'tiny']",1099.778775,18.15825,75.9225,4,"bigmed, large, med, tiny",4
C64H110NO10P,"['bigmed', 'large', 'med', 'tiny']",1083.7850250000001,17.9635,73.18,4,"bigmed, large, med, tiny",4
C64H107O9P,"['bigmed', 'large', 'large', 'med']",1050.764525,19.78125,78.69749999999999,4,"bigmed, large, large, med",4
C64H107O8P,"['bigmed', 'large', 'med', 'tiny']",1034.770975,20.367,78.3325,4,"bigmed, large, med, tiny",4
C64H107O10P,"['bigmed', 'large', 'med', 'tiny']",1066.7586000000001,18.5545,76.83500000000001,4,"bigmed, large, med, tiny",4
C64H106O12S,"['bigmed', 'large', 'med', 'tiny']",1098.739675,18.378999999999998,67.61,4,"bigmed, large, med, tiny",4
C63H113O9P,"['bigmed', 'large', 'med', 'tiny']",1044.809575,18.56125,59.45,4,"bigmed, large, med, tiny",4
C63H113O8P,"['bigmed', 'large', 'med', 'tiny']",1028.8121,20.12675,53.425,4,"bigmed, large, med, tiny",4
C63H113O10P,"['bigmed', 'large', 'med', 'tiny']",1060.80055,17.9635,68.465,4,"bigmed, large, med, tiny",4
C63H112O12S,"['bigmed', 'large', 'med', 'tiny']",1092.78605,18.164749999999998,72.16,4,"bigmed, large, med, tiny",4
C63H111NO10,"['bigmed', 'large', 'med', 'tiny']",1041.8222,17.9635,66.8025,4,"bigmed, large, med, tiny",4
C63H106NO11P,"['bigmed', 'large', 'med', 'tiny']",1083.753375,17.9635,61.6275,4,"bigmed, large, med, tiny",4
C63H106NO10P,"['bigmed', 'large', 'med', 'tiny']",1067.7584,17.782,64.265,4,"bigmed, large, med, tiny",4
C65H105NO9,"['bigmed', 'large', 'med', 'tiny']",1043.772925,17.97,69.7075,4,"bigmed, large, med, tiny",4
C65H106O10,"['bigmed', 'large', 'med', 'tiny']",1046.7785749999998,17.957,68.0175,4,"bigmed, large, med, tiny",4
C65H109NO10,"['bigmed', 'large', 'med', 'tiny']",1063.80415,17.9635,68.6575,4,"bigmed, large, med, tiny",4
C67H107NO10,"['bigmed', 'large', 'med', 'tiny']",1085.786275,17.9635,59.307500000000005,4,"bigmed, large, med, tiny",4
C68H130O9,"['bigmed', 'large', 'med', 'tiny']",1090.9724,15.474499999999999,58.58,4,"bigmed, large, med, tiny",4
C68H128NO8P,"['bigmed', 'large', 'med', 'tiny']",1117.93515,19.204250000000002,65.7075,4,"bigmed, large, med, tiny",4
C68H128N2O22,"['bigmed', 'large', 'med', 'tiny']",1324.8902,19.46425,80.5875,4,"bigmed, large, med, tiny",4
C68H127O10P,"['bigmed', 'large', 'med', 'tiny']",1134.9136,20.6915,52.1875,4,"bigmed, large, med, tiny",4
C68H106O12,"['bigmed', 'large', 'med', 'tiny']",1114.769325,18.15825,75.07,4,"bigmed, large, med, tiny",4
C68H106O11,"['bigmed', 'large', 'med', 'tiny']",1098.775525,18.15175,79.98,4,"bigmed, large, med, tiny",4
C67H125O8P,"['bigmed', 'large', 'large', 'med']",1088.90825,20.31375,73.725,4,"bigmed, large, large, med",4
C67H109NO7,"['bigmed', 'large', 'med', 'tiny']",1039.81975,17.9765,75.26,4,"bigmed, large, med, tiny",4
C67H103NO9,"['bigmed', 'large', 'med', 'tiny']",1065.7562,17.9635,65.7125,4,"bigmed, large, med, tiny",4
C65H110O12S,"['bigmed', 'large', 'med', 'tiny']",1114.7694000000001,18.15825,75.945,4,"bigmed, large, med, tiny",4
