,Cpd,Formula,RT,Mass,CAS_ID,Source,Score,Algorithm
542,734,C14H20O2,9.271,220.146,,FBF,95.71,FBF
543,858,C27H51NO,11.767,405.3959,,FBF,95.64,FBF
544,1469,C33H66,18.133,462.516,,FBF,95.63,FBF
545,5784,C15H21N3O3,4.489,291.1573,,FBF,95.6,FBF
546,1286,C28H48O4,17.536,448.3542,,FBF,95.44,FBF
547,713,C27H40O2,14.339,396.3034,,FBF,95.44,FBF
548,5828,C15H23N3O4,0.436,309.1684,,FBF,95.36,FBF
549,6641,C32H63NO2,11.871,493.4851,,FBF,95.34,FBF
550,6493,C24H30O7,7.27,430.199,,FBF,95.32,FBF
551,5473,C32H59O7P,7.971,586.3995,,FBF,95.25,FBF
553,1234,C26H45NO6,0.384,467.3235,,FBF,95.15,FBF
556,5621,C15H21N5O5,7.504,351.1546,,FBF,95.14,FBF
557,8322,C27H38O3,7.634,410.2821,,FBF,95.13,FBF
559,6131,C23H36N6O4,3.397,460.2793,,FBF,95.02,FBF
561,493,C17H32O2,9.687,268.2402,,FBF,94.93,FBF
562,850,C24H49NO,17.821,367.3819,,FBF,94.8,FBF
564,2430,C30H49NO8,14.807,551.3462,,FBF,94.78,FBF
565,47,C15H15N3O,8.335,253.1209,,FBF,94.66,FBF
566,790,C25H48N6O8,7.841,560.3524,,FBF,94.61,FBF
567,5841,C35H56N6O6,5.659,656.4265,,FBF,94.59,FBF
568,2337,C28H52O14,4.073,612.3342,,FBF,94.56,FBF
569,5159,C41H65O15P,7.945,828.4073,,FBF,94.53,FBF
570,8217,C41H71NO7S,10.103,721.496,,FBF,94.45,FBF
571,7242,C27H53N2O6P,5.425,532.3642,,FBF,94.29,FBF
572,5447,C48H74NO13P,4.879,903.4895,,FBF,94.26,FBF
573,6126,C20H31N3O5,7.945,393.226,,FBF,94.23,FBF
574,1984,C42H74O9,14.184,722.5337,,FBF,94.21,FBF
576,1025,C27H41NO3,7.634,427.3082,,FBF,94.19,FBF
577,110,C9H11N3O,0.41,177.0893,,FBF,94.16,FBF
578,6395,C6H5N5O2,1.683,179.0447,,FBF,94.15,FBF
